TeamName,Conference,PlayoffRank,SEASON,W_PCT,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,AST,REB,TOV,STL,BLK,AllStar_count,Finals_Appearances_Last5,ChampionNumber,Label
Bulls,East,1,1997,0.841,886.0,0.473,0.373,0.747,2142,3696,1109.0,717,332,2,3,4,1
Jazz,West,1,1997,0.78,721.0,0.504,0.37,0.769,2199,3299,1259.0,748,418,2,0,0,0
Rockets,West,2,1997,0.695,367.0,0.468,0.365,0.755,2013,3492,1365.0,688,347,1,2,2,0
Heat,East,2,1997,0.744,450.0,0.453,0.364,0.719,1735,3358,1306.0,651,439,1,0,0,0
SuperSonics,West,2,1997,0.695,633.0,0.467,0.353,0.752,1929,3280,1231.0,904,388,3,1,1,0
Knicks,East,3,1997,0.695,256.0,0.463,0.363,0.748,1809,3489,1462.0,630,378,0,1,2,0
Hawks,East,4,1997,0.683,446.0,0.446,0.36,0.763,1557,3371,1228.0,701,427,2,0,1,0
Lakers,West,4,1997,0.683,350.0,0.454,0.367,0.692,1844,3506,1222.0,740,575,1,0,11,0
Trail Blazers,West,5,1997,0.598,342.0,0.464,0.358,0.713,1709,3552,1357.0,640,434,0,0,1,0
Pistons,East,5,1997,0.659,430.0,0.464,0.388,0.745,1554,3150,1042.0,633,283,2,0,2,0
Hornets,East,5,1997,0.659,153.0,0.471,0.428,0.777,2021,3208,1203.0,597,349,1,0,0,0
Timberwolves,West,6,1997,0.488,-121.0,0.456,0.339,0.751,1874,3259,1243.0,618,557,2,0,0,0
Suns,West,6,1997,0.488,54.0,0.469,0.369,0.761,2067,3292,1180.0,664,322,0,1,0,0
Magic,East,7,1997,0.549,-29.0,0.437,0.341,0.746,1689,3292,1250.0,697,362,1,1,0,0
Clippers,West,8,1997,0.439,-193.0,0.446,0.354,0.731,1662,3334,1311.0,733,441,0,0,0,0
Bullets,East,8,1997,0.537,133.0,0.48,0.331,0.707,1921,3430,1290.0,715,402,1,0,1,0
Bulls,East,1,1998,0.756,583.0,0.451,0.323,0.743,1952,3681,1178.0,695,353,1,3,5,1
Jazz,West,1,1998,0.756,536.0,0.49,0.372,0.773,2070,3367,1259.0,648,412,1,1,0,0
Lakers,West,2,1998,0.744,635.0,0.481,0.351,0.679,2009,3550,1256.0,734,556,4,0,11,0
SuperSonics,West,2,1998,0.744,588.0,0.473,0.395,0.721,1986,3156,1145.0,804,376,2,1,1,0
Heat,East,2,1998,0.671,404.0,0.45,0.355,0.739,1758,3447,1226.0,665,429,1,0,0,0
Pacers,East,3,1998,0.707,499.0,0.469,0.39,0.764,1889,3222,1168.0,645,368,2,0,0,0
Spurs,West,4,1998,0.683,327.0,0.468,0.35,0.688,1839,3622,1318.0,516,568,2,0,0,0
Hornets,East,4,1998,0.622,164.0,0.468,0.383,0.751,1941,3326,1247.0,691,312,1,0,0,0
Suns,West,4,1998,0.683,425.0,0.468,0.356,0.749,2124,3443,1236.0,756,429,1,1,0,0
Hawks,East,5,1998,0.61,288.0,0.455,0.332,0.756,1569,3522,1214.0,648,491,2,0,1,0
Cavaliers,East,6,1998,0.573,224.0,0.454,0.372,0.756,1894,3286,1422.0,814,419,1,0,0,0
Trail Blazers,West,6,1998,0.561,115.0,0.451,0.309,0.737,1766,3608,1383.0,585,464,0,0,1,0
Nets,East,7,1998,0.524,129.0,0.441,0.331,0.744,1685,3481,1180.0,777,314,1,0,0,0
Knicks,East,7,1998,0.524,202.0,0.447,0.335,0.772,1787,3412,1247.0,634,278,0,1,2,0
Timberwolves,West,7,1998,0.549,58.0,0.461,0.347,0.743,2068,3492,1138.0,639,427,1,0,0,0
Rockets,West,8,1998,0.5,-62.0,0.452,0.343,0.771,1799,3337,1298.0,686,294,0,2,2,0
Pacers,East,1,1999,0.66,187.0,0.448,0.368,0.796,1005,2026,649.0,316,223,0,0,0,0
Spurs,West,1,1999,0.74,403.0,0.456,0.33,0.698,1101,2198,759.0,421,351,0,0,0,1
Jazz,West,1,1999,0.74,326.0,0.465,0.361,0.767,1204,2063,814.0,398,276,0,2,0,0
Heat,East,1,1999,0.66,248.0,0.453,0.359,0.735,1019,2015,744.0,327,304,0,0,0,0
Magic,East,1,1999,0.66,130.0,0.428,0.33,0.7,1067,2133,819.0,496,213,0,1,0,0
Trail Blazers,West,3,1999,0.7,318.0,0.442,0.364,0.743,1073,2216,771.0,411,290,0,0,1,0
Lakers,West,4,1999,0.62,151.0,0.468,0.352,0.683,1095,2099,754.0,389,287,0,0,11,0
Rockets,West,4,1999,0.62,116.0,0.462,0.368,0.729,1058,2076,812.0,386,260,0,2,2,0
Hawks,East,4,1999,0.62,145.0,0.409,0.306,0.731,781,2174,744.0,346,260,0,0,1,0
Pistons,East,5,1999,0.58,171.0,0.447,0.365,0.74,1009,2017,790.0,444,208,0,0,2,0
Suns,West,6,1999,0.54,113.0,0.449,0.372,0.76,1249,2016,681.0,444,200,0,0,0,0
76ers,East,6,1999,0.56,103.0,0.426,0.264,0.722,934,2157,822.0,542,271,0,0,3,0
Bucks,East,6,1999,0.56,83.0,0.459,0.373,0.733,1030,1939,719.0,442,202,0,0,1,0
Kings,West,6,1999,0.54,-21.0,0.445,0.308,0.683,1129,2279,842.0,444,232,0,0,1,0
Knicks,East,8,1999,0.54,51.0,0.435,0.353,0.732,963,2061,804.0,395,262,0,1,2,0
Timberwolves,West,8,1999,0.5,19.0,0.425,0.298,0.743,1218,2146,641.0,426,272,0,0,0,0
Lakers,West,1,2000,0.817,701.0,0.459,0.329,0.696,1921,3855,1143.0,613,534,2,0,11,1
Pacers,East,1,2000,0.683,377.0,0.459,0.392,0.811,1857,3454,1159.0,559,422,2,0,0,0
Jazz,West,2,2000,0.671,366.0,0.464,0.385,0.773,2041,3362,1220.0,629,446,2,2,0,0
Heat,East,2,2000,0.634,255.0,0.46,0.371,0.736,1931,3540,1231.0,582,524,1,0,0,0
Knicks,East,3,2000,0.61,120.0,0.455,0.375,0.781,1588,3323,1201.0,515,349,1,1,2,0
Trail Blazers,West,3,2000,0.72,525.0,0.47,0.361,0.76,1925,3526,1243.0,633,396,1,0,1,0
76ers,East,4,2000,0.598,110.0,0.442,0.323,0.708,1817,3615,1284.0,791,386,1,0,3,0
Spurs,West,4,2000,0.646,487.0,0.462,0.374,0.746,1819,3593,1233.0,614,551,2,1,1,0
